,verb,noun,seq
0,,,What is the purpose of the horizontal lines?
1,do,,What does the histopathology image show?
2,,,What are the labeled structures in the image?
3,,,What is the scimitar sign?
4,say,,What can you say about the pulmonary parenchyma?
5,,,Are there multiple views of the CT scan?
6,,,What is the purpose of the 'Feet first' control experiment?
7,,,What is the main finding in the right vertebral artery?
8,mean,,What does the pathological enhancement mean?
9,,,What are the colors used to mark satellite cells and myonuclei?
10,,,How does the pulmonary vasculature look?
11,,,What is the main finding in part A?
12,,,Is the lesion completely gone?
13,,,What is an arterio-venous malformation?
14,,,What is the expression of galectin-1 in the right ventricle?
15,indicate,,What does the thick arrow indicate?
16,stand,,What does DAD stand for?
17,look,,What does the head phantom look like?
18,,,In which view is the CT scan taken?
19,do,,What do the images on the bottom panel show?
20,,,What is the sacrococcygeal region?
21,,,What is the condition of the C2 vertebra in the lateral radiograph?
22,,,What is submucosal edema?
23,,,What is the purpose of labeling the stem cells with SPION?
24,,,What is the purpose of the EEG-fMRI set-up?
25,,,What could be the cause of common bile duct narrowing?
26,do,,What does the left panel of the image show?
27,,,What is the relationship between propofol Ce and sedation?
28,tell,,How can you tell there is an improvement postoperatively?
29,indicate,,What does calretinin positivity indicate?
30,,,What is GCTB?
31,,,Is the improvement in the right lung significant?
32,,,What is the difference between nr-axSpA and r-axSpA?
33,,,What are Modic type I changes?
34,compare,,What are the two types of bathymetric data being compared?
35,,,In which part of the brain is the hemorrhage located?
36,,,Is there any sign of ischemia in the sham group?
37,,,What is the purpose of NPWT?
38,say,,What can you say about the accessory splenic tissue?
39,look,,How does the gallbladder look?
40,,,What are the Michaelis-Gutmann bodies?
41,show,,What is the correlation being shown in the image?
42,,,Is there any sign of the lesion remaining?
43,,,Is the liver architecture normal?
44,,,What is the cause of the enlarged upper mediastinum?
45,,,What is the location of the calcification?
46,,,What is the location of the glioblastoma?
47,indicate,,What does the overlap in the plot indicate?
48,compare,,How does 3D imaging compare to 2D histology?
49,,,What is the main finding in the cervical spine MRI?
50,,,What is the purpose of showing magnified images on the right?
51,spare,,What part of the brain is relatively spared?
52,represent,,What do the red and blue diamonds represent?
53,,,What is the role of RT-PCR in the study?
54,indicate,,What does the dilated region of the small bowel indicate?
55,,,What is the significance of the patellar dislocation?
56,represent,,What do the colors in the fDM map represent?
57,say,,What can you say about the pancreatic mass?
58,,,What are the deposits in the lung parenchyma?
59,,,What is the SVC?
60,use,,What type of staining is used in the micrograph?
61,,,What are the different types of images presented?
62,,,How long is the stricture?
63,,,What is the purpose of the red and blue outlines?
64,,,What is the main focus of the dataset?
65,proliferate,,What type of cells are proliferating in the image?
66,look,,What does the mass lesion look like?
67,,,What is the purpose of comparing these MRI images?
68,show,,What type of tissue is shown in the histological slides?
69,say,,What can you say about the internal structure of the osteoderms?
70,,,What is the purpose of the Chest X-Ray Severity Score?
71,,,What could be the possible cause of the crumpled laminated membrane?
72,,,What is a burst fracture?
73,mean,,What does hemorrhagic infarction mean?
74,,,How is the overall volume of calcium recorded?
75,,,What is the fibrovascular tissue?
76,,,What could be the possible cause of this cyst?
77,,,What is a phantom in the context of this image?
78,happen,,What happens after the brain CT scan in the flowchart?
79,indicate,,What does the presence of ground glass opacities indicate?
80,show,,What type of granulomas are shown in the image?
81,do,,What does the chest X-ray show about the cardiomediastinal silhouette?
82,examine,,What type of tissue is being examined in these sections?
83,show,,What structure is shown in the image?
84,say,,What can you say about the peroneal tendons?
85,,,What is the purpose of the thick capsule?
86,,,Is it a sign of a specific lung condition?
87,,,What is the relationship between lung elastance and tissue volume density?
88,,,What is the importance of the reference cutting plane?
89,,,What are the visual signs of pneumonia on the x-ray?
90,,,What is the size of the non-mass enhancement?
91,,,What are the histopathological findings in the lung of G3?
92,identify,,What can a non-contrast MRI of the brain help identify?
93,,,What are the different views of the MRI scan?
94,see,cava,Can you see the Superior vena cava in the image?
95,,,What are the two substances compared in the image?
96,mean,,What does the stalk involvement mean?
97,indicate,,What does the resolution of the infiltrates indicate?
98,,,How severe is the pericardial calcification in these images?
99,look,,What does polymicrogyria look like on the MRI?
100,,,What are the two types of measurements shown in the plot?
101,say,,What can you say about the quality of the images?
102,,,What is the main finding from the graph?
103,look,,What does organizing pneumonia look like on the CT images?
104,,,What was the treatment used for this patient?
105,,,What is the condition of the left atrium?
106,,,What is the purpose of comparing these two positions?
107,,,What are the shaded regions in the graph?
108,,,What are the circled structures?
109,,,What is the cause of the pneumonia in this case?
110,,,What is the purpose of this biopsy?
111,,,What is the effect of the lesion on the median nerve?
112,,,What is the effective dose of 1 mSv equivalent to?
113,,,What is the morphological abnormality in the left hand?
114,,,What are the main findings in the chest CT images?
115,,,What is peripancreatic necrosis?
116,,,What is the reference for each parameter?
117,describe,appearance,Can you describe the general appearance of the pelvic region in the image?
118,,,What does pulmonary vascular blurring mean?
119,,,What type of lesion is visible in the X-ray?
120,affect,,Which knee is affected?
121,,,What is the histopathological appearance of the dacryops?
122,,,What is the significance of this type of cancer?
123,interpret,color,How can I interpret the colors in the supervised classification image?
124,,,What is the main feature of Darier's pathology?
125,,,What is the relationship between the number of dentate hippocampal cells and the MRI hippocampal volume?
126,,,What colors are the calcified materials?
127,,,What is the magnification of the histological section?
128,,,What are the colors representing in the 3D view?
129,indicate,,What does the presence of an air-fluid level indicate?
130,,,What is the purpose of the smooth muscle around the blood vessel?
131,use,,Is it used for diagnostic or therapeutic purposes?
132,represent,,What are the blue dots representing?
133,,,What is the purpose of DESI-MSI analysis?
134,indicate,,What does the blue staining indicate?
135,,,What are the reconstructions shown in the image?
136,,,What are the two gradients shown in the image?
137,,,What is the purpose of staining the testis sections with hematoxylin and eosin?
138,perceive,difference,What percentage of patients did not perceive a difference between the two scanners?
139,fill,hemithorax,What is filling the right hemithorax?
140,represent,,What are the orange circles representing?
141,,,What is the purpose of the brain mapping in this image?
142,,,Is the collection in the mediastinal space normal?
143,,,What is fdLM?
144,compress,,What structure is being compressed by the mass?
145,observe,,What changes are observed after steroid therapy?
146,,,What is the location of the pathological lymph nodes?
147,conduct,,What tests are conducted on 30-day-old mice?
148,,,What are the small foci of restricted diffusion?
149,,,What is the appearance of the ground glass images?
150,,,What is the purpose of the FMISO-PET image?
151,,,What is the injury shown in the image?
152,,,What could be the cause of the widening?
153,,,What color is the hemorrhage?
154,show,,What type of metaplasia is shown in the image?
155,,,Are the tumors visually different in the MRI images?
156,describe,shape,Can you describe the shape of the mass?
157,describe,appearance,Can you describe the appearance of the chondrocytes?
158,,,What is the purpose of the convolutional autoencoders in this image?
159,,,What is the main difference between the right and left hemi-sphenoid sinus in the image?
160,,,What abnormality is visible in the image?
161,observe,,What differences can be observed between the control and study groups?
162,,,What are the different types of images shown in this figure?
163,perform,,What tests were performed on the mice?
164,indicate,,What does the radiolucency within the pericardium indicate?
