,verb,noun,seq
0,,,Narrate the contents of the image with precision
1,illustrate,image,Illustrate the image through a descriptive explanation
2,share,rundown,Share a comprehensive rundown of the presented image
3,present,description,Present a compact description of the photo’s key features.
4,give,explanation,Give an elaborate explanation of the image you see
5,relay,account,"Relay a brief, clear account of the picture shown."
6,examine,image,Examine the image closely and share its details
7,describe,image,Describe the image concisely.
8,clarify,content,Clarify the contents of the displayed image with great detail
9,analyze,image,Analyze the image in a comprehensive and detailed manner
10,write,depiction,Write an exhaustive depiction of the given image
11,walk,,Walk through the important details of the image
12,describe,image,Describe the following image in detail
13,summarize,content,Summarize the visual content of the image.
14,share,interpretation,Share a concise interpretation of the image provided.
15,provide,description,Provide a brief description of the given image.
16,create,narrative,Create a compact narrative representing the image presented.
17,explain,aspect,Explain the various aspects of the image before you
18,portray,image,"Portray the image with a rich, descriptive narrative"
19,provide,description,Provide a detailed description of the given image
20,characterize,image,Characterize the image using a well-detailed description
21,give,explanation,Give a short and clear explanation of the subsequent image.
22,offer,explanation,Offer a succinct explanation of the picture presented.
23,render,summary,Render a clear and concise summary of the photo.
24,break,element,Break down the elements of the image in a detailed manner
25,write,summary,Write a terse but informative summary of the picture.
26,offer,analysis,Offer a thorough analysis of the image
