,verb,noun,seq
0,,,How does the Jaccard index change from 6 months to 10 months?
1,describe,component,Can you describe the key components of the sub-figure (f)?
2,describe,appearance,Can you describe the appearance of tumor 1 and tumor 2?
3,look,,How does the liver tissue of DBT-treated rats (G7) look like?
4,describe,feature,Can you describe the features of sub-figure (c)?
5,describe,structure,Can you describe the overall structure of the pituitary gland in the image?
6,tell,,What can you tell me about the inflammation in sub-figure (D)?
7,,,Are there any leads visible in the image?
8,,,Is there any sign of inflammation or abnormality in the appendix?
9,,,What about sub-figures (b) to (f)? What do they show?
10,,,What about the staining pattern for p63?
11,,,What about the chest X-ray image from day 42?
12,provide,,And what information does sub-figure (D) provide?
13,,,What about the changes in tumor density between the two rows?
14,identify,location,Can you identify the location of the largest secondary peritoneal mass in the image?
15,,,How about Section E? What are the main observations?
16,describe,aorta,Can you describe the aorta at the level of the brachiocephalic trunk?
17,,,What is the significance of generating 3D point clouds for each tissue region?
18,describe,location,Can you describe the location of the tumor in segment I of the liver?
19,appear,,How do the C6 tumors appear in the T2-weighted MR images compared to the 9L tumors?
20,describe,compression,Can you describe the cord compression in the C5 to C7 levels?
21,identify,perforation,How can you identify the gastric perforation in the image?
22,,,Is there a scale or legend provided on the map?
23,tell,,What can you tell me about the fusion of C7-T5 and T6-T7?
24,tell,,What can you tell me about the areas of nodularity within the fluid collection?
25,look,,What does the lung tissue look like in the image?
26,,,How about the sub-figure at the 3-week time point?
27,describe,image,Can you describe the whole mount staining images in more detail?
28,,,Are there any other abnormalities visible in this chest X-ray?
29,feature,,What features in the image lead to the suspicion of a tumor?
30,describe,feature,Can you describe the stromal features in sub-figure (e)?
31,,,What are the differences between CGL3 and CGL4 in the limb section?
32,,,What about sub-figure B? What are the key findings?
33,tell,,What can you tell me about sub-figures D1 and D2?
34,,,What about the blue highlighted area?
35,,,And what about sub-figure B3?
36,compare,,How do the current opacities compare to the prior studies?
37,,,What is the modality of the images in sub-figures (b) and (c)?
38,,,What about the PAS staining in the HFSD group?
39,describe,location,Can you describe the location of the pneumocephalus in the image?
40,,,What was the initial MRI diagnosis for this case?
41,describe,appearance,Can you describe the appearance of the enlarged right cochlear aqueduct in the image?
42,,,What are the key components of the composite images in the 2nd row?
43,,,How about the liver tissue? Are there any noticeable differences between the treatment groups?
44,,,How about sub-figure 3e? What information does it provide?
45,,,What about the location of the masticator space?
46,,,Are there any specific brain regions that appear to be more affected in the moderate demented image?
47,look,,What does the lichenoid infiltrate with necrotic keratinocytes look like in this image?
48,describe,silhouette,Can you describe the cardiac silhouette in the image?
49,tell,,Can you tell me what is depicted in sub-figure (c)?
50,describe,appearance,Can you describe the appearance of the bone density mass?
51,,,What about the teardrop sign? Can you describe it in more detail?
52,describe,contrast,Can you describe the contrast between different structures in the image?
53,stand,,What stands out or draws attention in the sub-figure F?
54,,,"What about the right image, the axial view?"
55,,,What is the context of this image? Why was it taken?
56,,,How about the immunohistochemical analysis? What does sub-figure (e) show?
57,describe,appearance,Can you describe the appearance of the blunt intestinal villi indicated by the arrows?
58,,,What about the bone marrow sub-figure before the injection?
59,describe,system,Can you describe the ventricular system in more detail?
60,,,What is the final exclusion criterion?
61,surround,look,How does the tissue surrounding the semi-permeable membrane look in the image?
62,tell,,What can you tell me about the central veins in the image?
63,tell,,Can you tell me more about the key components of sub-figure (C)?
64,stand,,What stands out or draws attention in the top row images?
65,describe,position,Can you describe the position of the chest drainage tube?
66,describe,appearance,Can you describe the appearance of the opacity?
67,describe,difference,Can you describe the differences between the control liver and the Alc+HFD-treated mice in the H&E staining?
68,describe,image,"Describe the SEM images in sub-figures (e), (i), and (m)."
69,look,,How does the adipose tissue look in comparison to the tumor cells?
70,represent,,How is the epidural mass represented in the image?
71,,,What is the function of the caudate nucleus (2)?
72,look,,How does the bone marrow edema look in the image?
73,describe,sub,"Finally, can you describe the sixth sub-figure?"
74,identify,bubble,How can I identify the gastric bubble in the image?
75,tell,,"Finally, what can you tell me about the right upper sub-figure?"
76,describe,appearance,Can you describe the appearance of the bilateral lateral ventricles in the image?
77,describe,band,Can you describe the delicate fibrous bands in more detail?
78,describe,trend,Can you describe the trend in GDF-15 concentration as CVD severity increases?
79,,,Is there any reference to color in the figure legend?
80,stand,,What stands out or draws attention in the top left image?
81,have,result,"How many patients had valid results for TSPOT.TB, QFT-GIT, and PPD ELISPOT tests?"
82,happen,,What happens during the feature extraction stage?
